Group-Name,Group-ID,In/Out,Protocol,Port,Source/Destination
launch-wizard-20,sg-00d822a7d51790fd6
,,Inbound
,,,tcp,80,172.20.0.0/16
,,,tcp,80,198.245.44.220/32
,,,tcp,80,47.190.60.88/32
,,,tcp,80,67.187.107.141/32
,,,tcp,80,72.48.205.209/32
,,,tcp,80,3.226.134.125/32
,,,tcp,80,3.82.167.44/32
,,,tcp,80,3.209.3.185/32
,,,tcp,80,3.94.251.126/32
,,,tcp,80,34.207.108.239/32
,,,tcp,80,52.87.200.104/32
,,,tcp,80,3.82.26.64/32
,,,tcp,80,54.161.156.95/32
,,,tcp,80,52.55.227.11/32
,,,tcp,80,3.227.227.20/32
,,,tcp,80,52.45.201.221/32
,,,tcp,80,52.44.136.92/32
,,,tcp,80,3.229.203.73/32
,,,tcp,80,3.229.170.147/32
,,,tcp,80,3.230.189.226/32
,,,tcp,80,3.93.49.138/32
,,,tcp,80,0.0.0.0/0
,,,tcp,80,66.69.180.5/32
,,,tcp,80,70.120.98.147/32
,,,tcp,8888,3.226.134.125/32
,,,tcp,8888,3.82.167.44/32
,,,tcp,8888,3.209.3.185/32
,,,tcp,8888,3.94.251.126/32
,,,tcp,8888,34.207.108.239/32
,,,tcp,8888,52.87.200.104/32
,,,tcp,8888,3.82.26.64/32
,,,tcp,8888,54.161.156.95/32
,,,tcp,8888,52.55.227.11/32
,,,tcp,8888,3.227.227.20/32
,,,tcp,8888,52.45.201.221/32
,,,tcp,8888,52.44.136.92/32
,,,tcp,8888,3.229.203.73/32
,,,tcp,8888,3.229.170.147/32
,,,tcp,8888,3.230.189.226/32
,,,tcp,8888,0.0.0.0/0
,,,tcp,5900,76.187.193.139/32
,,,tcp,5900,47.190.60.88/32
,,,tcp,5900,75.35.211.221/32
,,,tcp,5900,47.185.217.227/32
,,,tcp,7171,47.185.217.227/32
,,,tcp,7171,131.226.36.57/32
,,,tcp,7171,131.226.34.254/32
,,,tcp,65535,75.35.211.221/32
,,,tcp,3389,47.190.60.88/32
,,,tcp,3389,23.127.222.182/32
,,,tcp,3389,76.187.193.139/32
,,,tcp,3389,75.35.211.221/32
,,,tcp,3389,66.69.180.5/32
,,,tcp,3389,47.185.217.227/32
,,,tcp,8999,52.90.106.151/32
,,,tcp,8999,54.80.10.159/32
,,,tcp,8999,54.145.95.234/32
,,,tcp,8999,35.253.180.194/32
,,,tcp,8999,35.153.180.194/32
,,,tcp,8999,sg-01ea4fb7c0ce191b6
,,Outbound
,,,All,All,0.0.0.0/0
Windows NPS Servers,sg-00dbf62beb55b3c4d
,,Inbound
,,,udp,1813,172.21.2.80/32
,,,udp,1813,sg-0d7fb481a3ec04f34
,,,udp,1812,172.21.2.80/32
,,,tcp,1812,sg-0d7fb481a3ec04f34
,,Outbound
qlik-enterprise-sg,sg-012726eb3b35b0299
,,Inbound
,,,tcp,80,0.0.0.0/0
,,,tcp,4248,0.0.0.0/0
,,,tcp,4244,0.0.0.0/0
,,,tcp,3389,66.69.180.5/32
,,,tcp,3389,69.226.243.202/32
,,,tcp,3389,76.247.22.112/32
,,,tcp,3389,98.222.192.231/32
,,,tcp,3389,131.226.34.254/32
,,,tcp,3389,131.226.36.57/32
,,,tcp,443,0.0.0.0/0
,,Outbound
,,,All,All,0.0.0.0/0
rds-launch-wizard,sg-016aff1fa6e1cb98b
,,Inbound
,,,tcp,6028,47.187.214.136/32
,,Outbound
,,,All,All,0.0.0.0/0
NGINX Plus Basic - Amazon Linux AMI-1-3-AutogenByAWSMP-,sg-01ea4fb7c0ce191b6
,,Inbound
,,,tcp,80,3.226.134.125/32
,,,tcp,80,3.82.167.44/32
,,,tcp,80,3.209.3.185/32
,,,tcp,22,47.190.60.88/32
,,,tcp,22,76.187.193.139/32
,,,tcp,22,131.226.36.57/32
,,,tcp,22,131.226.34.254/32
,,,tcp,22,24.182.104.39/32
,,,tcp,443,3.226.134.125/32
,,,tcp,443,3.82.167.44/32
,,,tcp,443,3.209.3.185/32
,,Outbound
,,,All,All,0.0.0.0/0
,,,tcp,8999,52.55.209.22/32
rds-launch-wizard-8,sg-01ec1e2fd6f018005
,,Inbound
,,,tcp,5432,172.58.110.177/32
,,Outbound
,,,All,All,0.0.0.0/0
CorpServiceDesk Database,sg-023719a5cefbc8d42
,,Inbound
,,,tcp,5432,172.31.14.194/32
,,,tcp,5432,172.31.1.185/32
,,,tcp,5432,47.187.205.136/32
,,,tcp,5432,172.31.75.253/32
,,Outbound
,,,All,All,0.0.0.0/0
PHP-Contractor,sg-027317c4e189f75d2
,,Inbound
,,,tcp,443,76.186.7.155/32
,,,tcp,443,47.185.156.76/32
,,Outbound
,,,All,All,0.0.0.0/0
CorpServiceDesk,sg-02875a85c41d23e97
,,Inbound
,,,tcp,3389,172.22.1.0/24
,,,tcp,443,172.21.0.0/16
,,,tcp,443,172.31.72.56/32
,,Outbound
,,,tcp,11000,172.21.0.0/16
,,,tcp,5432,sg-0b987c96b2d5c9be6
,,,tcp,65535,172.21.0.0/16
,,,tcp,465,0.0.0.0/0
,,,tcp,389,172.21.0.0/16
,,,tcp,445,172.21.0.0/16
,,,tcp,443,172.21.1.33/32
,,,tcp,443,172.21.1.173/32
,,,tcp,9000,172.21.0.0/16
,,,tcp,993,0.0.0.0/0
,,,tcp,22,172.21.0.0/16
,,,tcp,25,0.0.0.0/0
,,,tcp,10443,172.21.0.0/16
,,,tcp,139,172.21.0.0/16
