AWS-OpsWorks-WebApp	sg-7acc6e07
Administrative RDP
Administrative SSH
Cloak Live
CorpServiceDesk	sg-02875a85c41d23e97
CorpServiceDesk Database	sg-023719a5cefbc8d42
CorpServiceDeskPostgressDB	sg-0b987c96b2d5c9be6
Corporate Inbound
Corporate ServiceDesk
Infosec RDP
JobScheduling PSQL
LogRhythm SysMon
ManageEngine AD
ManageEngine AD360	sg-0e6023be3571768a6
ManageEngine AdManager	sg-0da2b0d9f738f7d76
ManageEngine PAM360	sg-05432aef414aa0e50
Nessus Scanner
OpenVPN Access
OpenVPN-MySQL	sg-037fe2eadd88b08c6
PHP-Contractor	sg-027317c4e189f75d2
Quarantine	sg-068ac8ec5f11fac68
SSH Admin
Scan Target
SecureGW for
Standard web
Web Proxy
Windows AD
Windows AD
Windows CA
Windows NPS
all-rdp	sg-04d50b8f3631f17e7
anna-dev-eks	sg-06032665e7f51e83d
api-elb.sandbox.k8s.local	sg-d6b11ba0
ctm_ssh	sg-0353346eb9b65ebc3
db.postgres.rds.public	sg-431c523d
default	sg-039b0ac8c8901ccef
default	sg-052245f23504371af
default	sg-0e89f6f7cd3c03feb
default	sg-0f511a72e4e51dee5
default	sg-4fe9193c
default	sg-8e3dacfb
default-vpc-sg	sg-92b9d5ed
ellora sie	sg-340d7c48
ellora-sie-win08	sg-5ff5a123
insecure	sg-6d189f10
insecure-public-test-pg	sg-04ef5a7b8f10523ec
insecurewithoutoutbound	sg-d5f9eeab
internal-load-balancer	sg-864918fd
ipsec	sg-0a557676
jenkins-ci	sg-fb7dca86
k8s-elb-a1abca94120ad11e8bc170e9df1bf577	sg-a22cffd4
k8s-elb-aa603c913272011e8bc170e9df1bf577	sg-cf74e4b9
k8s-elb-ab451ac85b78d11e8b7400e4f774caf8	sg-0ca7c38ec93b794e9
k8s-neo4j-extra-security-group	sg-378caa7d
launch-wizard-10	sg-4f58d53f
launch-wizard-13	sg-0d8cae0c78ec886d1
launch-wizard-18	sg-091e891d999c89864
launch-wizard-24	sg-057bb7374a4f87209
launch-wizard-25	sg-0e68a306181fe230f
launch-wizard-4	sg-d772f7ad
launch-wizard-7	sg-a60f7eda
leonardo-workstation	sg-0bdaea363cab74b27
mirth	sg-0f087973
mirth-web	sg-900d61ec
postgresql	sg-15056969
rds-launch-wizard	sg-016aff1fa6e1cb98b
rds-launch-wizard-1	sg-c5f7d7b8
rds-launch-wizard-3	sg-b7c94dc9
rds-launch-wizard-4	sg-eacf4b94
rds-launch-wizard-5	sg-bbb430c5
rds-launch-wizard-6	sg-0ba233c79ce773a03
rds-launch-wizard-7	sg-4b4edf3b
rds-launch-wizard-8	sg-01ec1e2fd6f018005
sr-test	sg-0e9b16d236b34fc05
temporary rdp
